idx,treatment_title,resp_title,sate,causal_effect,explanation,treatment_idx,resp_idx,ate
0,"Treasure of the Sierra Madre, The (1948)",Volcano (1997),0.0038741753,0,There is no narrative or genre connection between a classic adventure/drama from 1948 and a 1990s disaster action film. Watching 'Treasure of the Sierra Madre' is highly unlikely to causally influence interest in or avoidance of 'Volcano'; their audiences and appeal are independent.,1254,1515,0.0016556307673454285
5273,"Doom Generation, The (1995)",Volcano (1997),0.033754513,0,"'The Doom Generation' is an edgy indie dark comedy/drama, while 'Volcano' is a big-budget disaster movie. Complete disconnect in style and target audience means no true causal effect.",166,1515,0.0
850,"Treasure of the Sierra Madre, The (1948)",Mission: Impossible (1996),-0.28315234,0,Classic adventure/drama and 90s action/spy thriller attract distinct audiences; watching one does not influence immediate interest in the other.,1254,648,-0.00016558170318603516
351,"Princess Bride, The (1987)",Mission: Impossible (1996),-0.37806657,0,"'The Princess Bride' is a fairy tale adventure/romance, while 'Mission: Impossible' is a modern action-thriller. No narrative, genre, or audience overlap to create a causal effect.",1197,648,0.0
612,"River Wild, The (1994)",Mission: Impossible (1996),-0.3278521,1,"Both are popular Hollywood thrillers starring mainstream actors (including Meryl Streep for the former, Tom Cruise for the latter), and appeal to fans of action, but have no direct or franchise link. Watching 'The River Wild' may slightly elevate interest in genre-adjacent blockbusters, but the effect is weak.",376,648,0.05910593271255493
6,Bullets Over Broadway (1994),Mission: Impossible (1996),-0.4507645,0,'Bullets Over Broadway' (comedy/crime/period piece) and 'Mission: Impossible' (spy/action) appeal to different audiences and have no narrative or cast connection. Watching one does not meaningfully affect the likelihood of watching the other.,348,648,0.0009933710098266602
810,"Close Shave, A (1995)",Mission: Impossible (1996),-0.29475215,0,'A Close Shave' is a stop-motion animated short (Wallace & Gromit); 'Mission: Impossible' is a Hollywood spy thriller. Audiences and narrative unrelated; watching A neither encourages nor discourages B.,745,648,-0.013741731643676758
294,Air Force One (1997),Mission: Impossible (1996),-0.39283994,2,"Both are '90s political/action thrillers with government intrigue. Watching one could increase desire for similarly themed blockbusters, but only mildly given differences in tone and character focus.",1608,648,0.1096026599407196
10,Nine Months (1995),Mission: Impossible (1996),-0.44939026,0,"These are unrelated films in genre, tone, and target audience. Watching the romantic comedy 'Nine Months' does not causally influence the action-oriented 'Mission: Impossible.' Both are mainstream, but there’s no narrative, genre, or series connection and confounders like overall film consumption dominate.",186,648,0.0033112764358520508
407,Night on Earth (1991),Mission: Impossible (1996),-0.36691752,0,"Night on Earth is an episodic indie comedy/drama, while Mission: Impossible is an action spy thriller. Their genres and audiences are quite distinct, and there is no narrative or thematic link, so watching A does not causally affect the likelihood of watching B.",1279,648,-0.007119208574295044
396,"Shadow, The (1994)",Mission: Impossible (1996),-0.36691752,1,"Both films are action/espionage-inspired and both star Alec Baldwin (who starred in Shadow) and Tom Cruise (Mission). There is mild genre overlap which can causally increase interest slightly, especially for fans of pulpy action, but this effect is weak (mainly confounded by general action fandom).",533,648,0.05215230584144592
177,Free Willy 2: The Adventure Home (1995),Mission: Impossible (1996),-0.40417624,0,"Family animal adventure and action blockbuster are unrelated; shared genre, time of release, or popularity is a confounder.",169,648,-0.008774816989898682
16,In the Bleak Midwinter (1995),Mission: Impossible (1996),-0.4485697,0,"'In the Bleak Midwinter' is a British stage comedy, while 'Mission: Impossible' is a Hollywood action blockbuster. Their genres and tone differ greatly, with no series or actor-based expectations, so there is no causal effect.",96,648,-0.004139065742492676
18,Congo (1995),Mission: Impossible (1996),-0.445856,0,"'Congo' is a sci-fi adventure and 'Mission: Impossible' is an action/spy thriller. Both are 90s studio releases appealing to broad audiences, but watching one does not cause interest or aversion to the other outside shared taste for blockbusters.",160,648,-0.004470199346542358
228,Dirty Dancing (1987),Mission: Impossible (1996),-0.39791897,0,"Dirty Dancing is a romance/dance drama; Mission: Impossible is an action/spy thriller. Unless as pure coincidence, watching the former does not cause a viewer to seek out the latter.",1088,648,0.003807961940765381
22,From Dusk Till Dawn (1996),Mission: Impossible (1996),-0.44558647,0,"Though released the same year, these films are unrelated in genre (horror/crime action vs. spy thriller) and have separate core audiences. Watching From Dusk Till Dawn neither encourages nor discourages watching Mission: Impossible, after adjusting for general moviegoing frequency.",70,648,-0.0008278191089630127
481,"Time to Kill, A (1996)",Mission: Impossible (1996),-0.35186198,0,"'A Time to Kill' is a legal drama, while 'Mission: Impossible' is an action spy film. No narrative or genre linkage, and audience overlap is minimal. Watching one does not causally prompt interest in the other.",805,648,0.0004966855049133301
802,Homeward Bound: The Incredible Journey (1993),Mission: Impossible (1996),-0.29904532,0,"A is a sentimental family adventure; B is an action/spy film. No narrative or genre relationship, so watching A does not causally affect watching B.",1015,648,-0.013245046138763428
781,Circle of Friends (1995),Mission: Impossible (1996),-0.30040887,0,These films are unrelated in genre (romantic drama vs. action/spy) and audience preference. Watching 'Circle of Friends' neither causally increases nor decreases the likelihood of watching 'Mission: Impossible' after accounting for confounders like general movie-going habits or broader film interest.,222,648,0.008278131484985352
28,Fluke (1995),Mission: Impossible (1996),-0.44451147,0,"Fluke is a family drama/fantasy; Mission: Impossible is an action thriller. These films serve distinct audience segments and genres, and watching one has no meaningful causal impact on watching the other.",241,648,0.002648979425430298
291,Deceiver (1997),Mission: Impossible (1996),-0.39283994,0,"No strong narrative, franchise, or genre tie (noir mystery vs. action spy thriller). Confounders dominate; zero causal effect.",1671,648,0.010430455207824707
286,"Great White Hype, The (1996)",Mission: Impossible (1996),-0.39283994,0,These are disconnected in genre and audience (sports satire vs. spy action). No likely causal pathway from one to the other.,725,648,0.0033112764358520508
31,Paris Was a Woman (1995),Mission: Impossible (1996),-0.4439759,0,"The first is a documentary about women in Paris, while the second is a mainstream action thriller. There is no narrative link nor strong audience overlap. Watching the former does not causally impact the likelihood of watching the latter.",1315,648,-0.006125837564468384
477,Kids (1995),Mission: Impossible (1996),-0.35420915,0,"'Kids' is a controversial indie drama, and 'Mission: Impossible' is a commercial action film. With such different audiences and themes, there is no causal relationship in viewing.",175,648,0.009933769702911377
534,Andre (1994),Mission: Impossible (1996),-0.34223828,0,"'Andre' is a family film about a seal, while 'Mission: Impossible' is a high-stakes spy thriller. The audiences and genres are very different, and there is no narrative linkage, so watching 'Andre' has no causal effect on choosing to watch 'Mission: Impossible.'",577,648,0.00016555190086364746
35,Welcome to the Dollhouse (1995),Mission: Impossible (1996),-0.44344163,0,"Welcome to the Dollhouse is an indie coming-of-age drama, whereas Mission: Impossible is a blockbuster action thriller. With no narrative link or strong audience overlap, watching the first does not affect interest in the second.",562,648,0.006456941366195679
2025,Dante's Peak (1997),Mission: Impossible (1996),-0.16605657,0,"'Dante's Peak' is a disaster film and 'Mission: Impossible' is a spy action film; both are 90s blockbusters but cater to separate genre interests, so watching one does not causally increase or decrease watching the other.",1438,648,-0.006456971168518066
297,Dave (1993),Mission: Impossible (1996),-0.39283994,0,Political comedy and action/spy thriller have minimal audience overlap or narrative connection. No significant causal pathway.,440,648,0.007119208574295044
38,Blown Away (1994),Mission: Impossible (1996),-0.44344163,1,"Both are action thrillers from the 1990s with bomb-related plots. While they aren't connected narratively, the shared genre and temporal proximity slightly increase the chance that an action fan might pursue both, but confounders (preference for star or franchise) dominate. The causal effect is minimal but just above zero.",423,648,0.05413907766342163
40,Heavenly Creatures (1994),Mission: Impossible (1996),-0.44344163,0,"The two movies are unrelated in genre, tone, and narrative. Watching the psychological drama 'Heavenly Creatures' has no substantial causal effect on the likelihood of watching the blockbuster spy film 'Mission: Impossible.' Both films attract different audience motivations, and any correlations are likely due to confounders such as overall movie-watching frequency.",247,648,-0.0004966855049133301
42,Brassed Off (1996),Mission: Impossible (1996),-0.4401134,0,"'Brassed Off' is a British social comedy-drama, whereas 'Mission: Impossible' is a Hollywood action blockbuster. Their audience and genre appeal are distinct, and one does not causally influence interest in the other outside of general movie-going tendencies.",1542,648,-0.01407286524772644
953,Space Jam (1996),Mission: Impossible (1996),-0.2508242,0,"'Space Jam' (family/comedy/sports) and 'Mission: Impossible' (spy/action) are unrelated in genre, tone, and audience. Watching one does not causally impact viewing the other, except for possible confounding by general movie-going enthusiasm.",673,648,-0.007119208574295044
47,Powder (1995),Mission: Impossible (1996),-0.4359606,0,"'Powder' is a science fiction drama about an outcast youth, whereas 'Mission: Impossible' is a high-octane spy/action film. They target different audience segments, and watching the former neither encourages nor discourages watching the latter outside of confounding factors like general movie interest.",24,648,-0.0004966855049133301
49,Traveller (1997),Mission: Impossible (1996),-0.4338015,0,"'Traveller' is a crime drama about con artists; 'Mission: Impossible' is an action/spy film. Although there is a faint link via themes of deception, there is no franchise, genre, or narrative dependency and no causal effect on viewing likelihood.",1508,648,-0.005132436752319336
869,Bound (1996),Mission: Impossible (1996),-0.2764326,1,"Both are 90s crime/thriller films, and some viewer overlap may exist for genre fans, so watching 'Bound' could slightly increase willingness to watch 'Mission: Impossible,' though there's no strong connection.",866,648,0.04387417435646057
