,treatment_idx,resp_idx,GPT,ate
0,1254,1515,0,0.0004966892302036
1,166,1515,0,0.0018211919814348
2,1254,648,0,-0.0044701993465423
3,1197,648,0,-0.0013245046138763
4,376,648,1,0.0586092770099639
5,348,648,0,0.0029801130294799
6,745,648,0,0.0072847604751586
7,1608,648,2,0.1084436774253845
8,186,648,0,0.006291389465332
9,1279,648,0,0.000993400812149
10,533,648,1,0.06324502825737
11,169,648,0,-0.006953626871109
12,96,648,0,0.0021522939205169
13,160,648,0,-0.0049668848514556
14,1088,648,0,0.0043046474456787
15,70,648,0,-0.0028145611286163
16,805,648,0,-0.0110926926136016
17,1015,648,0,0.0109271705150604
18,222,648,0,0.000827819108963
19,241,648,0,0.0072847604751586
20,1671,648,0,0.006291389465332
21,725,648,0,-0.008609265089035
22,1315,648,0,-0.003973513841629
23,175,648,0,0.007284790277481
24,577,648,0,0.0049668848514556
25,562,648,0,0.011092722415924
26,1438,648,0,-0.000993400812149
27,440,648,0,-0.007119208574295
28,423,648,1,0.0509933829307556
29,247,648,0,0.0043046474456787
30,1542,648,0,0.0097682178020477
31,673,648,0,0.0096026360988616
32,24,648,0,-0.0026489794254302
33,1508,648,0,-0.0052980184555053
34,866,648,1,0.0625827610492706
35,517,648,1,0.0576159060001373
36,876,648,1,0.0572847723960876
37,1207,648,0,-0.0115894079208374
38,18,648,0,-0.0057947039604187
39,1300,648,0,0.0003311336040496
40,1617,648,1,0.0604304671287536
41,1752,648,1,0.0481788218021392
42,798,648,1,0.0670529603958129
43,1762,648,0,0.0114238560199737
44,81,648,0,0.005629152059555
45,162,648,0,0.005629152059555
46,1175,648,0,-0.0044701993465423
47,948,648,0,0.0081125795841217
48,235,648,0,-0.0067880749702453
49,1241,648,0,0.0137417316436767
50,1127,648,0,0.0048013031482696
51,1090,648,0,0.003973513841629
52,308,648,0,0.003973513841629
53,1833,648,1,0.0516556203365325
54,350,648,0,0.0077814757823944
55,1598,648,1,0.0546357631683349
56,1686,648,1,0.0483443737030029
57,832,648,1,0.0559602677822113
58,465,648,0,-0.0061258077621459
59,1643,648,0,0.0001655519008636
60,532,648,0,-0.0066225230693817
61,920,648,0,0.006291389465332
62,276,648,0,-0.003145694732666
63,1640,648,0,0.007947027683258
64,1394,648,0,-0.0064569413661956
65,417,648,0,-0.0135761797428131
66,581,648,0,0.0046357810497283
67,650,648,0,0.0097682178020477
68,1267,648,1,0.0591059625148773
69,383,648,0,-0.0026490092277526
70,575,648,0,0.004635751247406
71,885,648,0,0.0054636001586914
