idx,treatment_title,resp_title,sate,causal_effect,explanation
0,"Treasure of the Sierra Madre, The (1948)",Volcano (1997),0.0038741753,0,There is no narrative or genre connection between a classic adventure/drama from 1948 and a 1990s disaster action film. Watching 'Treasure of the Sierra Madre' is highly unlikely to causally influence interest in or avoidance of 'Volcano'; their audiences and appeal are independent.
1,Return of the Jedi (1983),Mission: Impossible (1996),-0.52590215,0,"While both are blockbuster franchises, there is no narrative or genre continuity. Viewers interested in 'Star Wars' are not causally more likely to watch a spy action film like 'Mission: Impossible,' and vice versa; any overlap is due to general blockbuster/watch behavior rather than a causal relationship."
2,"Princess Bride, The (1987)",Grease (1978),0.96644294,0,"'The Princess Bride' (fantasy/romance/comedy) and 'Grease' (musical/romance) have some demographic overlap, but no causal or sequenced relationship. Watching one does not make it meaningfully more or less likely a viewer will watch the other; genre and narrative do not connect."
3,Mrs. Winterbourne (1996),Star Trek: The Wrath of Khan (1982),0.0540223,0,"These films are disconnected by genre (romantic comedy/drama vs. sci-fi adventure), audience, and era. Watching 'Mrs. Winterbourne' neither causally encourages nor discourages a viewer from watching 'The Wrath of Khan'."
4,One Flew Over the Cuckoo's Nest (1975),Mission: Impossible (1996),-0.45890412,0,"Although both are well-known films, their genres, themes, and tones are entirely different, and there is no narrative or actor linkage. Watching the hard-hitting 'Cuckoo's Nest' does not causally affect the likelihood of watching a mainstream action thriller like 'Mission: Impossible'."
5,"River Wild, The (1994)",Circle of Friends (1995),0.964372,0,"'The River Wild' is a thriller/adventure; 'Circle of Friends' is drama/romance. There is no genre, narrative, or significant cast continuity, so watching one does not causally induce or reduce interest in the other beyond possible confounding by general audience age or rental patterns."
6,Bullets Over Broadway (1994),Mission: Impossible (1996),-0.4507645,0,'Bullets Over Broadway' (comedy/crime/period piece) and 'Mission: Impossible' (spy/action) appeal to different audiences and have no narrative or cast connection. Watching one does not meaningfully affect the likelihood of watching the other.
7,"Close Shave, A (1995)","Postman, The (1997)",0.9605461,0,"'A Close Shave' (stop-motion animated short) and 'The Postman' (post-apocalyptic epic) are extremely dissimilar in genre, length, tone, and audience. Watching one does not causally influence viewing of the other."
8,Arsenic and Old Lace (1944),Bob Roberts (1992),0.19983776,0,"Despite both films being comedies with some satirical elements, there is no narrative or genre sequence; the massive time gap means viewers do not commonly progress from one to the other in a causal fashion."
9,Air Force One (1997),Othello (1995),0.032551147,0,"'Air Force One' is a political action thriller, while 'Othello' is a Shakespearean adaptation. These movies have no narrative or genre dependency, and watching one has no causal effect on the likelihood of watching the other."
10,Nine Months (1995),Mission: Impossible (1996),-0.44939026,0,"These are unrelated films in genre, tone, and target audience. Watching the romantic comedy 'Nine Months' does not causally influence the action-oriented 'Mission: Impossible.' Both are mainstream, but there’s no narrative, genre, or series connection and confounders like overall film consumption dominate."
11,Night on Earth (1991),"Hour of the Pig, The (1993)",0.95652175,0,"'Night on Earth' is an anthology drama by Jim Jarmusch, while 'The Hour of the Pig' is a historical drama. Despite both being niche films, they are disconnected in story, cast, and style. General interest in offbeat cinema is a shared confounder, not a causal linkage."
12,Oscar & Lucinda (1997),Mission: Impossible (1996),-0.4491164,0,"'Oscar & Lucinda' is a period romance/drama, while 'Mission: Impossible' is a blockbuster action film. There is no narrative, genre, or audience overlap to suggest watching one causes watching the other, aside from broad viewing habits."
13,Benny & Joon (1993),"Apostle, The (1997)",0.26823628,0,"'Benny & Joon' is a quirky romantic comedy, while 'The Apostle' is a religious drama. No shared narrative or genre, and minimal overlap in likely audiences beyond general cinephilia, so no causal effect beyond general movie-watching."
14,"Shadow, The (1994)","Hour of the Pig, The (1993)",0.95652175,0,"'The Shadow' is a pulp superhero adventure, while 'Hour of the Pig' is a medieval legal drama. There are no genre, cast, or thematic connections; no plausible mechanism for watching one to causally affect likelihood of watching the other."
15,Free Willy 2: The Adventure Home (1995),Grease (1978),0.9559445,0,"These films have different genres (family adventure vs. musical romance) and target demographics. There is no direct or indirect causal path from watching 'Free Willy 2' to watching 'Grease' except general nostalgia/family movie preferences, which is not a direct causal effect."
16,In the Bleak Midwinter (1995),Mission: Impossible (1996),-0.4485697,0,"'In the Bleak Midwinter' is a British stage comedy, while 'Mission: Impossible' is a Hollywood action blockbuster. Their genres and tone differ greatly, with no series or actor-based expectations, so there is no causal effect."
17,12 Angry Men (1957),"Misérables, Les (1995)",0.22749358,0,"These are both classic dramas, but separated by era, style, and narrative. Fans of serious drama may enjoy both, but watching '12 Angry Men' specifically does not make one more or less likely to watch 'Les Misérables.'"
18,Congo (1995),Mission: Impossible (1996),-0.445856,0,"'Congo' is a sci-fi adventure and 'Mission: Impossible' is an action/spy thriller. Both are 90s studio releases appealing to broad audiences, but watching one does not cause interest or aversion to the other outside shared taste for blockbusters."
19,Dirty Dancing (1987),Grease (1978),0.9542169,3,"Both are nostalgic, dance/music-driven romantic films with large cult followings. Watching 'Dirty Dancing' may slightly increase interest in 'Grease' due to comparable genre, tone, and overlapping fanbases; however, each stands strongly alone and preexisting preferences are a major confounder."
20,Bob Roberts (1992),Mimic (1997),0.10290137,0,"These are unrelated films by genre (mockumentary satire vs. sci-fi horror) and have no narrative or franchise connection. Watching Bob Roberts is unlikely to influence desire to watch Mimic, after accounting for potential confounders like general moviegoing habits or eclectic taste."
21,Mission: Impossible (1996),Farinelli: il castrato (1994),-0.01985886,0,"One is a Hollywood action/spy blockbuster, the other is a European biographical musical drama. There's virtually no direct narrative or genre link, and audience overlap is minimal. Watching Mission: Impossible is not causally linked to seeking out Farinelli."
22,From Dusk Till Dawn (1996),Mission: Impossible (1996),-0.44558647,0,"Though released the same year, these films are unrelated in genre (horror/crime action vs. spy thriller) and have separate core audiences. Watching From Dusk Till Dawn neither encourages nor discourages watching Mission: Impossible, after adjusting for general moviegoing frequency."
23,"Time to Kill, A (1996)","Hour of the Pig, The (1993)",0.9542169,2,"Both are legal dramas with period and social themes, so watching A Time to Kill could casually increase interest in another courtroom-centered film like The Hour of the Pig. However, the connection is weak since the latter is more niche and less known."
24,Junior (1994),Mission: Impossible (1996),-0.44504833,0,"Junior is a comedy about pregnancy; Mission: Impossible is an action thriller. No causal narrative, genre, or franchise link exists. General movie consumption habits would be the main confounder, but effect remains neutral."
25,Leaving Las Vegas (1995),"Fifth Element, The (1997)",0.15183298,0,"Leaving Las Vegas (dark drama) and The Fifth Element (sci-fi adventure) have entirely separate tones, audiences, and reputations. Watching one would not causally motivate or demotivate the other, after controlling for broad cinephilia."
26,Homeward Bound: The Incredible Journey (1993),Grease (1978),0.95364237,0,"Homeward Bound is a family animal adventure film; Grease is a teenage musical romance. There is no narrative or genre link, and viewing one provides no actionable information about desire to view the other, even after accounting for family-friendliness preference."
